NAME,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,INITIAL_STOCK,REMAINING_QUANTITY,SERIAL_NO,EXPIRY_DATE
ALPHA PLUS,Ksh15.00,Yes,1096,,,
ALPHA SP,Ksh13.00,Yes,1097,,,
ALPRAZOLAM ALZOLAM 0.5,Ksh14.00,Yes,1098,,,
ALTACEF 50mls 125mg/5mls,Ksh27.00,Yes,1099,,,
ALTIVITE 60mls,Ksh150.00,Yes,11,,,
ALTRINE 60MLS Cetrizine,Ksh20.00,Yes,110,,,
ALUGEL SUSP 100mls,Ksh34.00,Yes,1100,,,
ALWAYS MAXI,Ksh50.00,Yes,1101,,,
ALWAYS ULTRA,Ksh82.00,Yes,1102,,,
AM PILL NOSIC,Ksh78.00,Yes,1103,,,
AMARLY 4MG,Ksh10.00,Yes,1105,,,
AMARYL 2,Ksh63.00,Yes,1107,,,
AMBROX 75 SR Caps,Ksh38.00,Yes,1108,,,
AMBROX SYR 100MLS,Ksh10.00,Yes,1109,,,
AmCivit 100MLS,Ksh135.00,Yes,111,,,
AMCLAMED 156mg,Ksh150.00,Yes,1110,,,
AMICA TRANEXAMIC/MEF 500/250,Ksh100.00,Yes,1111,,,
AMICACIN 500MG/2mls,Ksh20.00,Yes,1113,,,
AMIKACIN SULPHATE inj 500mg/2mls,Ksh100.00,Yes,1114,,,
AMILODIPINE ADIPIN 10,Ksh45.00,Yes,1117,,,
AMILODIPINE ADIPIN 5,Ksh7.00,Yes,1118,,,
AMILODIPINE ASOMEX 2.5,Ksh5.00,Yes,112,,,
AMILODIPINE ASOMEX -5,Ksh33.00,Yes,1122,,,
AMILODIPINE GENCARD 5MG ,Ksh50.00,Yes,1124,,,
AMILODIPINE SWAMLO 5,Ksh7.00,Yes,1125,,,
AMILODIPINE VARINIL 10MG ,Ksh4.00,Yes,1126,,,
AMILODIPINE VARINIL 5MG ,Ksh7.50,Yes,1127,,,
AMILODIPINE/LOSARTAN AMZART 5/50MG,Ksh4.00,Yes,1129,,,
AMINOGARD SATCHETS 5GMS,Ksh25.00,Yes,113,,,
AMINOPHYLLINE VITAPHYLLINE INJ,Ksh74.00,Yes,1130,,,
AMINOSIDINE GABS SYR 60MLS,Ksh40.00,Yes,1131,,,
AMINOVIT 200mls,Ksh130.00,Yes,1133,,,
AMITRPTYLINE COSMOS TABS 25MG,Ksh340.00,Yes,1134,,,
AMIZOLE 100mls,Ksh1.40,Yes,1136,,,
AMLOCIP NB 5/5MG,Ksh32.00,Yes,1139,,,
AMLODENK 5,Ksh10.00,Yes,114,,,
AMLODIPINE 10mg Norvatis,Ksh14.00,Yes,1140,,,
AMLODIPINE 5mg Norvatis,Ksh3.00,Yes,1141,,,
AMLOSTAR 5mg,Ksh2.00,Yes,1143,,,
AMLOVAS 5MG,Ksh4.00,Yes,1144,,,
AMLOZAAR 50/5mg tabs,Ksh14.00,Yes,1145,,,
AMLOZAAR H,Ksh48.00,Yes,1146,,,
AMOKLAVIN 228mg/5mls,Ksh48.00,Yes,1147,,,
AMOXIL 100mls 125mg/5mls,Ksh100.00,Yes,1149,,,
AMOXIL 250mg caps,Ksh50.00,Yes,1152,,,
AMOXIL 500MG caps,Ksh1.00,Yes,1153,,,
AMOXIL 60MLS 125mg/5mls,Ksh5.00,Yes,1154,,,
AMOXIL FORTE 250mg/5mls,Ksh45.00,Yes,1155,,,
AMOXIL GSK 125MG/5ML 100ML,Ksh70.00,Yes,1156,,,
AMOXIL GSK 250MG/5Mls,Ksh234.00,Yes,1158,,,
AMOXIL GSK 500mg,Ksh295.00,Yes,1161,,,
AMOXIL LOOSE 500MG,Ksh17.00,Yes,1162,,,
AMOXIL MEDREICH 500MG,Ksh3.00,Yes,1163,,,
AMOXIL ORIGINAL 500MG,Ksh2.00,Yes,1164,,,
AMOXILLIN/CLAVULANIC ACID GSK 375MG ,Ksh3.00,Yes,1168,,,
AMOXYCLAV 1000mg 10's,Ksh1.00,Yes,1169,,,
AMOXYCLAV 228mg,Ksh200.00,Yes,117,,,
AMOXYCLAV 375mg 10's,Ksh140.00,Yes,1170,,,
AMOXYCLAV 400/57MG 70 ml,Ksh125.00,Yes,1171,,,
AMOXYCLAV 625mg 10's,Ksh100.00,Yes,1172,,,
AMPHOTERICIN B 50MG,Ksh130.00,Yes,1173,,,
AMPICLOX 500MG LOOSE,Ksh360.00,Yes,1175,,,
AMPICLOX DAWA 100MLS,Ksh1.00,Yes,1176,,,
AMPICLOX DAWA 500,Ksh65.00,Yes,1177,,,
AMPICLOX DAWA 60MLs,Ksh3.50,Yes,1178,,,
AMPICLOX NEONATAL 10mls,Ksh40.00,Yes,1179,,,
AMPICLOX Neonatal GsK 8mls,Ksh42.00,Yes,1180,,,
AMTEL,Ksh190.00,Yes,1182,,,
AMZART 5/50,Ksh63.00,Yes,1183,,,
ANADOL 50MG CAPS,Ksh40.00,Yes,1184,,,
ANAFRANIL 25,Ksh6.00,Yes,1187,,,
ANEMA 133mls,Ksh35.00,Yes,1188,,,
ANGILOCK 50mg,Ksh100.00,Yes,1189,,,
ANGILOCK plus 50/12.5,Ksh3.00,Yes,119,,,
ANGIZAAR 50MG,Ksh5.00,Yes,1191,,,
ANGIZAAR H,Ksh14.00,Yes,1192,,,
ANOMEX SUPP,Ksh14.00,Yes,1193,,,
ANTI Rho-D RHOCLONE 300mcg,Ksh37.00,Yes,1194,,,
ANTISEPTIC GreenV 100MLS,"Ksh4,600.00",Yes,1195,,,
ANUSOL OINT 25 Grams,Ksh35.00,Yes,1196,,,
ANUSOL SUPP,Ksh550.00,Yes,1197,,,
ANUSTAT OINT 15G,Ksh45.00,Yes,12,,,
APC BLISTER TABS,Ksh270.00,Yes,120,,,
APC LOOSE,Ksh1.00,Yes,1200,,,
APDROPS EYE 3mls,Ksh0.50,Yes,1201,,,
APDYL H 100mls,Ksh460.00,Yes,1202,,,
APETAMIN 200mls,Ksh160.00,Yes,1204,,,
APFLU SYRUP 100mls,Ksh440.00,Yes,1206,,,
APIGESIC Forte,Ksh160.00,Yes,1207,,,
APPEVITE 100mls,Ksh17.00,Yes,1208,,,
APPLIFT C 100mls,Ksh170.00,Yes,1209,,,
APRAZOLE 20MG POWDER,Ksh100.00,Yes,1210,,,
APRAZOLE PLUS 20-SACHETS,Ksh38.00,Yes,1212,,,
AQUEOUS CREAM 250grams,Ksh35.00,Yes,1213,,,
AQUEOUS CREAM 500 grams,Ksh100.00,Yes,1214,,,
ARMSLING MEDIUM,Ksh240.00,Yes,1216,,,
ARTEFAN 20/120 12's,Ksh500.00,Yes,1217,,,
ARTEFAN susp 180mg 60mls,Ksh35.00,Yes,1219,,,
ARTEMETHER LARITHER INJ 80MG/ML,Ksh250.00,Yes,1220,,,
ARTEQUICK 4 tabs,Ksh15.00,Yes,1222,,,
ARTESIANE 100 IM VIAL,Ksh510.00,Yes,1223,,,
ARTESUN inj 120mg,Ksh20.00,Yes,1224,,,
ASCARD -75,Ksh370.00,Yes,1225,,,
ASCORIL 100mls,Ksh2.60,Yes,1226,,,
ASCORIL 200mls,Ksh200.00,Yes,1227,,,
ASCORIL D 100mls,Ksh310.00,Yes,1228,,,
ASHTON-GENERIC,Ksh200.00,Yes,1229,,,
ASHTON-ORIGINAL,Ksh10.00,Yes,123,,,
ASMEEZ 60mls Salbutamol,Ksh15.00,Yes,1230,,,
ASOMEX 2.5MG,Ksh20.00,Yes,1231,,,
ASOMEX 5mg,Ksh47.00,Yes,1232,,,
ASOMEX LT,Ksh70.00,Yes,1235,,,
ASPICLOX 500 AMPICLOX,Ksh67.00,Yes,1239,,,
ASPICLOX 500MG AMPICLOX,Ksh3.60,Yes,124,,,
ASPICLOX 500MG[AMPICLOX],Ksh2.40,Yes,1240,,,
ASTHALIN INHALER,Ksh2.40,Yes,1241,,,
ASTODIUM 2MG,Ksh100.00,Yes,1242,,,
ASTYMIN LIQUID 200mls,Ksh1.00,Yes,1243,,,
ATACAND PLUS* 16/12.5,Ksh307.00,Yes,1244,,,
ATENELOL&CHLORTAL TENORIC 50/12.5MG,Ksh10.00,Yes,1245,,,
ATM Susp 15mls,Ksh16.00,Yes,1246,,,
ATORID 80,Ksh50.00,Yes,1248,,,
ATORVASTATIN  20mg,Ksh10.00,Yes,1250,,,
ATORVASTATIN 10mg,Ksh9.00,Yes,1252,,,
ATORVASTATIN EMSTAT 20,Ksh8.00,Yes,1253,,,
ATORVASTATIN LIPVAS 20MG ,Ksh6.00,Yes,1254,,,
ATREST 0.25MG,Ksh7.00,Yes,1255,,,
ATREST 0.50mg,Ksh7.00,Yes,1256,,,
ATRIZIN 60mls,Ksh13.00,Yes,1257,,,
ATROP 1% 5mls,Ksh111.00,Yes,1259,,,
ATROPINE INJ 1ml,Ksh191.00,Yes,126,,,
ATSTAT 20,Ksh8.00,Yes,1260,,,
AUGMENTIN  228/5 70ML,Ksh7.00,Yes,1261,,,
AUGMENTIN 457/5ml 70ml,Ksh532.00,Yes,1262,,,
AUGMENTIN 625 10's,Ksh830.00,Yes,1267,,,
AUGMENTIN 625mg 14's,Ksh350.00,Yes,1268,,,
AUGMENTIN GSK 156/5,Ksh500.00,Yes,1269,,,
AUGMENTINE 1 GRAM 10's,Ksh1.00,Yes,127,,,
AUGMENTINE 1 GRAM 14's,Ksh500.00,Yes,1271,,,
AUGMENTINE 312MG/5MLS,Ksh600.00,Yes,1276,,,
AUGMENTINE 375mg,Ksh350.00,Yes,1277,,,
AUGMENTINE 600MG IV,Ksh25.00,Yes,1278,,,
AUGMENTINE* 1.2GM IV,Ksh200.00,Yes,1279,,,
AUGMIN SUSP 156MG,Ksh300.00,Yes,128,,,
AUGYCLAV 457/5MLS,Ksh140.00,Yes,1280,,,
AUGYCLAV 457MG/5mls,Ksh320.00,Yes,1281,,,
AUROCOL-DM  eyedrops10mls,Ksh320.00,Yes,1282,,,
AUROCROME SOL 2% 10MLS,Ksh150.00,Yes,1283,,,
AUROFLOX EYE DROPs 0.3% 5mls,Ksh172.00,Yes,1284,,,
AUROPODOX 2OOMG,Ksh270.00,Yes,1285,,,
AUROPRED 0.5% 10 mls,Ksh55.00,Yes,1286,,,
AUROPRED EYE 0.5%,Ksh205.00,Yes,1287,,,
AUROXETIL 500 cefuroxime,Ksh200.00,Yes,1288,,,
AUROZOLE ECONAZOLE 2%,Ksh22.00,Yes,129,,,
AVALIFE ADVANCE RESCUE CAPS,Ksh106.00,Yes,1294,,,
AVAMYS aq nasal spray,Ksh38.00,Yes,1295,,,
AVAS 40MG,Ksh776.00,Yes,1299,,,
AVASTATIN 10MG,Ksh27.00,Yes,13,,,
AXE BRAND CHAPA SHOKA,Ksh7.20,Yes,130,,,
AXE BRAND UNIVERSAL OIL,Ksh90.00,Yes,1300,,,
AXODIN 120mg Fexofenadine,Ksh75.00,Yes,1301,,,
AXYLIN 100ML,Ksh10.00,Yes,1302,,,
AZATHIOPRIN 60mg,Ksh55.00,Yes,1303,,,
AZICURE 200 15mls,Ksh11.00,Yes,1305,,,
AZIDAWA 15MLS,Ksh90.00,Yes,1307,,,
AZIFRED SUSP,Ksh40.00,Yes,1308,,,
AZITHROMYCIN susp 15mls,Ksh50.00,Yes,1309,,,
AZITROMYCIN 500mg 3's,Ksh80.00,Yes,131,,,
AZMASOL HFA INHALER,Ksh50.00,Yes,1311,,,
AZOPT 5mls,Ksh224.00,Yes,1312,,,
AZTOR 20MG,Ksh760.00,Yes,1313,,,
BABYMOL SUSP 100ML,Ksh46.00,Yes,1314,,,
BACTECEF CEFOPERAZONE+SULB,Ksh160.00,Yes,1315,,,
BACTIGRASS GAUZE,Ksh655.00,Yes,1316,,,
BACTOCLAV 375mg,Ksh15.00,Yes,1318,,,
BACTRID 228.5MG SUSP 70mls,Ksh8.00,Yes,1319,,,
BALANCE B/F-,Ksh130.00,Yes,1320,,,
BALCON 10mg,Ksh1.00,Yes,1321,,,
BARAKI,Ksh5.00,Yes,1322,,,
BAROLE 20MG,Ksh30.00,Yes,1323,,,
BASCOPAN NOSPASUM 60MLS ,Ksh28.00,Yes,1324,,,
BECLOMETASONE Nasal spray,Ksh55.00,Yes,1325,,,
BECLOMIN OINT 15 grams,Ksh50.00,Yes,1327,,,
BECLOMIN* 250 INHALER,Ksh135.00,Yes,1328,,,
BECOACTIN SYRUP 200mls,Ksh200.00,Yes,1329,,,
BECOACTIN TABS,Ksh250.00,Yes,133,,,
BENACOFF EXP 100MLS,Ksh10.00,Yes,1330,,,
BENACOFF LINCTUS 100mls,Ksh75.00,Yes,1332,,,
BENACOFF PAEDS 100MLS,Ksh70.00,Yes,1333,,,
BENAFLU TABS,Ksh60.00,Yes,1335,,,
BENAFLU TOTO 100MLS,Ksh3.00,Yes,1336,,,
BENAFLU TOTO 60mls,Ksh75.00,Yes,1337,,,
BENAGAS gel 180MLS,Ksh60.00,Yes,1338,,,
BENAGYL DF 60mls,Ksh45.00,Yes,1339,,,
BENAHIST 100mls,Ksh40.00,Yes,134,,,
BENAHIST 60mls,Ksh45.00,Yes,1340,,,
BENASED COUGH LINCTUS,Ksh30.00,Yes,1342,,,
BENASED-MUCOLYTIC 100MLS ,Ksh60.00,Yes,1343,,,
BENASED-PEADS 100MLS ,Ksh125.00,Yes,1344,,,
BENASTEN V6 PESSARIES,Ksh65.00,Yes,1346,,,
BENAWORM SUSP,Ksh20.00,Yes,1347,,,
BENYLIN 4FLU 100mls,Ksh20.00,Yes,1349,,,
BENYLIN CODEIN 100MLS,Ksh220.00,Yes,135,,,
BENYLIN DRY COUGH 100MLS,Ksh430.00,Yes,1350,,,
BENYLIN ORIGINAL 100mls,Ksh470.00,Yes,1351,,,
BENYLIN-4FLU 200mls,Ksh400.00,Yes,1352,,,
BENYLIN-PEADS 100MLS,Ksh680.00,Yes,1353,,,
BENYLN CHESTY 100MLS,Ksh390.00,Yes,1354,,,
BENZATHINE PEN INJ 2.4MEGA,Ksh352.00,Yes,1355,,,
BENZHEXOL 5MG cosmos,Ksh35.00,Yes,1356,,,
BENZOYL PEROXIDE PERNEX AC 5%,Ksh2.20,Yes,1357,,,
BENZYL BENZOATE 25% 100mls,Ksh270.00,Yes,1358,,,
BENZYL PEN IMEGA MEDIPEN,Ksh40.00,Yes,1359,,,
BENZYLPENICILLIN inj 600Mg,Ksh10.00,Yes,136,,,
BEOGUT Satchets,Ksh30.00,Yes,1360,,,
BEROTEC 0.05%150MLS,Ksh50.00,Yes,1361,,,
BETADINE ANTISEPTIC 10% 125mls,Ksh542.00,Yes,1363,,,
BETADINE M/WASH 125mls,Ksh345.00,Yes,1364,,,
BETADINE OINT 40GMS,Ksh500.00,Yes,1365,,,
BETAFEN PLUS 100mls,Ksh332.00,Yes,1367,,,
BETAFEN PLUS 60mls,Ksh140.00,Yes,1368,,,
BETAHISTINE 16mg,Ksh100.00,Yes,1369,,,
BETAMED CREAM,Ksh10.00,Yes,137,,,
BETAMOL 100MLS,Ksh40.00,Yes,1371,,,
BETAMOL 60MLS,Ksh28.00,Yes,1372,,,
BETAPYN TABS ADCOCK,Ksh18.00,Yes,1376,,,
BETASERC 8mg,Ksh20.00,Yes,138,,,
BETASON CREAM 15G,Ksh30.00,Yes,1380,,,
BETASON G OINTMENT,Ksh35.00,Yes,1381,,,
BETASON N 15G,Ksh75.00,Yes,1382,,,
BETASON N OINT 15G,Ksh100.00,Yes,1383,,,
BETASON OINT 15g,Ksh100.00,Yes,1384,,,
BETASON S 15G,Ksh35.00,Yes,1385,,,
BETASONE 0.1%*,Ksh95.00,Yes,1389,,,
BETNOVATE OIN 30GMS,Ksh20.00,Yes,139,,,
BETNOVATE OINT 30grams,Ksh50.00,Yes,1391,,,
BEUFLOX D 5mls,Ksh50.00,Yes,1392,,,
BG GLUTAMIN PLUS TABS,Ksh210.00,Yes,1395,,,
BG-GLUTAMIN TABS,Ksh15.00,Yes,1396,,,
BICOLEX 5MG,Ksh10.00,Yes,1397,,,
BIO OIL 25mls,Ksh1.50,Yes,1398,,,
BIO OIL 60mls,Ksh300.00,Yes,1400,,,
BIOCOF LINCTUS 100MLS,Ksh560.00,Yes,1401,,,
BIOFERON CAPS,Ksh60.00,Yes,1402,,,
BIOGRAS DRESSING GAUZE,Ksh10.00,Yes,1404,,,
BIOSELENIUM SHAMPOO 100mls,Ksh40.00,Yes,1406,,,
BIOVIR ACICLOVIR 5%,Ksh630.00,Yes,1409,,,
BISACODYL 5MG,Ksh75.00,Yes,141,,,
BLOOD GROUP TEST,Ksh0.75,Yes,1410,,,
BLOOD PRESSURE,Ksh30.00,Yes,1414,,,
BONECARE plus tabs,Ksh2.00,Yes,1417,,,
BONECARE susp 200mls,Ksh18.00,Yes,1418,,,
BONICAP chewable,Ksh410.00,Yes,1419,,,
BONIUM TABS,Ksh14.00,Yes,142,,,
BONJELA 15G ADULT,Ksh15.00,Yes,1420,,,
BONNISAN 120mls,Ksh520.00,Yes,1421,,,
BORIC ACID EAR DROPS,Ksh280.00,Yes,1422,,,
BOSQUITO REPELLENT,Ksh40.00,Yes,1423,,,
BRALIX TAB,Ksh50.00,Yes,1426,,,
BRANTA tabs,Ksh7.00,Yes,1427,,,
BRANULAR,Ksh32.00,Yes,143,,,
BRIMOCHEK T eye drops 5mls,Ksh14.00,Yes,1431,,,
BROMOCRIPTIN 2.5MG,Ksh800.00,Yes,1433,,,
BROMSAL EXP 100MLS,Ksh29.00,Yes,1434,,,
BRONCHOcoff EBMuco 100mls,Ksh82.00,Yes,1435,,,
BRONCHOPED SYRUP 100MLS,Ksh100.00,Yes,1436,,,
BRONCHOWIN tabs,Ksh311.00,Yes,1437,,,
BRONKOF 60mls,Ksh44.00,Yes,1438,,,
BRONKOF SYRUP 100mls,Ksh100.00,Yes,144,,,
BRONYL EXP 120MLS,Ksh115.00,Yes,1440,,,
BRONYL SYRUP 120MLS,Ksh145.00,Yes,1442,,,
BROXOL SYRUP,Ksh145.00,Yes,1443,,,
BROZEDEX 100mls,Ksh105.00,Yes,1445,,,
BROZELIN EXP 100MLS,Ksh170.00,Yes,1448,,,
BRUFEN 200MG b/p,Ksh240.00,Yes,1449,,,
BRUFEN 200MG LOOSE,Ksh1.00,Yes,1450,,,
BRUFEN 400mg b/p,Ksh0.60,Yes,1451,,,
BRUFEN 400MG LOOSE,Ksh1.50,Yes,1452,,,
BRUFEN 60mls,Ksh1.00,Yes,1453,,,
BRUFEN FENPAR,Ksh20.00,Yes,1454,,,
BRUFLOX 500mg CIPROfloxacin,Ksh7.00,Yes,1455,,,
BRUSTAN SUSP 100mls,Ksh4.50,Yes,1456,,,
BRUSTAN TABLETS,Ksh240.00,Yes,1457,,,
BUDECORT 100 INHALER,Ksh10.00,Yes,1458,,,
BUDECORT 200mcg INHALER,Ksh400.00,Yes,146,,,
BUDECORT BECORT 100MCG,"Ksh1,300.00",Yes,1460,,,
BUDESONIDE DERINIDE 200,Ksh100.00,Yes,1461,,,
BULKOT B cream 15grams,Ksh200.00,Yes,1462,,,
BULKOT CREAM 20G,Ksh50.00,Yes,1463,,,
BULKOT MIXI 20 Grams,Ksh22.00,Yes,1464,,,
BUMAFEN SUSP 60MLS,Ksh120.00,Yes,1465,,,
BURNIMED 15G SILVER SULP,Ksh20.00,Yes,1466,,,
BURNMED CREAM 100GMS,Ksh35.00,Yes,1467,,,
BURNOX CREAM 20grams,Ksh160.00,Yes,1468,,,
BUSCOPAN INJ 20mg,Ksh25.00,Yes,1470,,,
BUSCOPAN LOOSE,Ksh20.00,Yes,1472,,,
BUSCOPAN original 10MG,Ksh2.00,Yes,1473,,,
BUSCOPAN PLUS tabs,Ksh13.00,Yes,1474,,,
BYOFER 12 200mls,Ksh40.00,Yes,1475,,,
CA SANDOZ 1000mg,Ksh150.00,Yes,1478,,,
CABALIN 75MG,Ksh42.00,Yes,1479,,,
CABALIN* 150Mg pregabalin,Ksh25.00,Yes,148,,,
CA-C 1000 tabs Gsk,Ksh10.00,Yes,1480,,,
CACHNERVE caps,Ksh50.00,Yes,1481,,,
CADID B CREAM 15G,Ksh25.00,Yes,1482,,,
CADIPHEN EXP 100mls,Ksh130.00,Yes,1483,,,
CADISTIN EXP 100MLS,Ksh115.00,Yes,1484,,,
CADISTIN EXPECTORANT 100MLS,Ksh95.00,Yes,1485,,,
CADISTIN PLUS 100ML,Ksh80.00,Yes,1486,,,
CAF CAPS LOOSE,Ksh160.00,Yes,1487,,,
CALAMINE LOTION 15%,Ksh0.40,Yes,1488,,,
CALBO D vita effervecent tabs,Ksh30.00,Yes,1489,,,
CALCIMAX  150mls,Ksh30.00,Yes,149,,,
CALCIMAX SYR 100MLS,Ksh720.00,Yes,1490,,,
CALCINOL SATCHETS D3 1000MG,Ksh430.00,Yes,1491,,,
CALCINOL-1000,Ksh40.00,Yes,1492,,,
CALCIPLEX 500mg,Ksh42.00,Yes,1493,,,
CALCIPLEX -500mg,Ksh10.00,Yes,1494,,,
CALDOB DOBESIL Caps,Ksh7.00,Yes,1496,,,
CALFEN SYR 60MLS,Ksh20.00,Yes,1497,,,
CALMARI D 120mls,Ksh20.00,Yes,15,,,
CALPOL 100mls,Ksh100.00,Yes,150,,,
CALPOL 60MLS,Ksh290.00,Yes,1500,,,
CALTER PLUS,Ksh193.00,Yes,1501,,,
CANADIL PESSARIES,Ksh12.00,Yes,1502,,,
CANADIL V PESSARIES 6'S,Ksh23.00,Yes,1503,,,
CANAZOL V PESSA 100mg 6's,Ksh30.00,Yes,1504,,,
CANDIB B CREAM 15mg,Ksh20.00,Yes,1505,,,
CANDID B LOTION 15mls,Ksh167.00,Yes,1507,,,
CANDID CREAM 20Grams,Ksh225.00,Yes,151,,,
CANDID EAR DROPS,Ksh225.00,Yes,1511,,,
CANDID LOTION 20mls,Ksh142.00,Yes,1512,,,
CANDID MOUTH PAINT,Ksh170.00,Yes,1513,,,
CANDID powder 30 Grams,Ksh150.00,Yes,1514,,,
CANDID V3 200MG,Ksh213.00,Yes,1515,,,
CANDID V6 100MG,Ksh305.00,Yes,1516,,,
CANDID VAGINAL gel 30grams,Ksh340.00,Yes,1517,,,
CANDISTAT PESS V3,Ksh306.00,Yes,1518,,,
CANDITRAL 100MG,Ksh55.00,Yes,1520,,,
CANESTEN 200MG Pessary,Ksh70.00,Yes,1521,,,
CANESTEN CREAM,Ksh50.00,Yes,1522,,,
CARBAMAZEPINE NEUROTROL-200MG ,Ksh50.00,Yes,1523,,,
CARBAMAZEPINE[CARBAS],Ksh3.30,Yes,1524,,,
