No.,Item Code,Item Description,Item Category,Brand,U.O.M,Buying Price,Selling Price,Expense Account,Income Account
75,PHA027,AMPICLOX NEONATAL ORAL DROPS 90MG/0.6ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
76,PHA028,AMPICLOX SUSPENSION 250MG/5ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
77,PHA287,ANAL GESIC RUBEM GEL 20GM,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
78,5011,ANDAZI,CANTEEN & CATERING,,PIECES,0,10,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
79,PHA785,ANESTHETIC SPRAY XYLOCAINE,PHARMACY,,TABS,2200,2200,INVENTORY - PHARMACY,PHARMACY
80,PHA515,ANKLE SUPPORT,PHARMACY,,TABS,0,700,INVENTORY - PHARMACY,PHARMACY
81,PHA374,ANOMEX SUPPOSITORY 0,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
82,PHA606,ANT D INJECTION 300MCG VIAL,PHARMACY,,TABS,4575,6000,INVENTORY - PHARMACY,PHARMACY
83,345029,ANTERIOR L67 A2,DENTAL,,PKT,150,0,COS-DENTAL,DENTAL
84,PHA029,ANUSTAT OINT. 15G,PHARMACY,,TABS,0,350,INVENTORY - PHARMACY,PHARMACY
85,5012,APPLE FRUITS,CANTEEN & CATERING,,PIECES,23.33,23.33,PREPAID SERVICE CONTRACTS,
86,PHA616,APPLICATOR STICKS 500S,PHARMACY,,TABS,500,750,INVENTORY - PHARMACY,PHARMACY
87,PHA836,APPLIFT C [MULTIVITAMIN] [CASH],PHARMACY,,TABS,150,200,INVENTORY - PHARMACY,PHARMACY
88,5013,ARIMIS 200G,CANTEEN & CATERING,,PKT,95,95,ACCOMODATION,CANTEEN INCOME
89,5015,ARIMIS 50GS,CANTEEN & CATERING,,PKT,28.33,28.33,ACCOMODATION,CANTEEN INCOME
90,5016,ARIMIS 90G,CANTEEN & CATERING,,PKT,40,60,ACCOMODATION,CANTEEN INCOME
91,PHA888,ARM BAND (ADULT),PHARMACY,,TABS,9.49,100,INVENTORY - PHARMACY,PHARMACY
92,PHA879,ARM SLING,PHARMACY,,TABS,429,600,INVENTORY - PHARMACY,PHARMACY
93,PHA651,ARM SLING POUCH,PHARMACY,,TABS,0,1000,INVENTORY - PHARMACY,PHARMACY
94,PHA456,ARMSLING,PHARMACY,,TABS,0,120,INVENTORY - PHARMACY,PHARMACY
95,PHA1013,ARMSLING MEDIUM SIZE,PHARMACY,,PIECES,474,650,INVENTORY - PHARMACY,PHARMACY
96,PHA1014,ARMSLING SMALL SIZE,PHARMACY,,PIECES,474,650,INVENTORY - PHARMACY,PHARMACY
97,4035,ARROW ROOTS,CANTEEN & CATERING,,OTHERS,25,40,PREPAID SERVICE CONTRACTS,
98,PHA646,ARTEME/LUM.TABS 20MG/120MG[AL],PHARMACY,,TABS,2.79,7.5,INVENTORY - PHARMACY,PHARMACY
99,PHA030,ARTEMETHER INJ. 40MG/1ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
100,PHA031,ARTEMETHER INJ. 80MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
101,PHA325,ARTEMETHER TABS 0,PHARMACY,,TABS,0,120,INVENTORY - PHARMACY,PHARMACY
102,PHA944,ARTERY FORCEPS,PHARMACY,,TABS,650,0,INVENTORY - PHARMACY,PHARMACY
103,PHA032,ARTESUNATE INJ. 60MG,PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
104,PHA1017,ARTHOPEADIC BACK REST,PHARMACY,,PIECES,6000,7980,INVENTORY - PHARMACY,PHARMACY
105,PHA033,ASCORIL EXPECTORANT 100ML,PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
106,PHA876,ASPIRIN 300MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
107,LAB049,"AST (40ML X 2,12ML X 2)",LAB ITEMS,,ML,3200,0,COS-LABORATORY,LABORATORY
108,PHA034,ATENOLOL TABS 50MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
109,PHA703,ATORVASTATIN 10MG CASH ONLY],PHARMACY,,TABS,1.93,5,INVENTORY - PHARMACY,PHARMACY
110,PHA035,ATORVASTATIN TABS 20MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
111,PHA773,ATRACURIUM BESILATE INJ,PHARMACY,,TABS,112.1,300,INVENTORY - PHARMACY,PHARMACY
112,PHA362,ATROPINE 5ML EYE DROP 0,PHARMACY,,TABS,0,400,INVENTORY - PHARMACY,PHARMACY
113,PHA036,ATROPINE INJ. 1MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
114,PHA588,AUTOCLAVE TAPE,PHARMACY,,TABS,99,0,INVENTORY - PHARMACY,PHARMACY
115,PHA650,AUXILIARY CLUTCHES,PHARMACY,,TABS,0,1500,INVENTORY - PHARMACY,PHARMACY
116,PHA652,AUXILIARY CLUTCHES PAIR,PHARMACY,,TABS,0,3000,INVENTORY - PHARMACY,PHARMACY
117,PHA037,AVAMYS NASAL SPRAY(FLUTICASONE 27.5MG,PHARMACY,,TABS,0,1000,INVENTORY - PHARMACY,PHARMACY
118,5088,AVOCADO,CANTEEN & CATERING,,PIECES,10,20,PREPAID SERVICE CONTRACTS,
119,PHA592,AXILLARY CRUTCH SINGLE,PHARMACY,,TABS,2500,1500,INVENTORY - PHARMACY,PHARMACY
120,PHA653,AXILLARY CRUTCHES PAIR,PHARMACY,,TABS,0,3000,INVENTORY - PHARMACY,PHARMACY
121,PHA418,AZITH/FLUCO/SECNID 1/150/1 [DAZEL KIT],PHARMACY,,TABS,569,800,INVENTORY - PHARMACY,PHARMACY
122,PHA038,AZITHROMYCIN SUSPENSION 200MG/5ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
123,PHA039,AZITHROMYCIN TABS 250MG,PHARMACY,,TABS,10,20,INVENTORY - PHARMACY,PHARMACY
124,PHA040,AZITHROMYCIN TABS. 500MG[CASH ONLY],PHARMACY,,TABS,18,50,INVENTORY - PHARMACY,PHARMACY
125,4,BABY CARE 55 GRAMS,CANTEEN & CATERING,,PIECES,30,50,PREPAID SERVICE CONTRACTS,
126,PHA664,BABY CLOTHES,PHARMACY,,TABS,1000,1350,INVENTORY - PHARMACY,PHARMACY
127,5018,BABY CLOTHES COMPLETE,CANTEEN & CATERING,,PIECES,200,350,,
128,5019,BABY FEEDERS,CANTEEN & CATERING,,PIECES,20,40,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
129,PHA992,BABY INCUBATOR,PHARMACY,,TABS,410000,0,INVENTORY - PHARMACY,PHARMACY
130,5020,BABY NAPPY PANTIES (BLACK MEDIUM),CANTEEN & CATERING,,PIECES,35,50,PREPAID SERVICE CONTRACTS,
131,5022,BABY NAPPY PANTIES (SMALL),CANTEEN & CATERING,,PIECES,25,40,PREPAID SERVICE CONTRACTS,
132,5023,BABY NORMAL CAPS(KOFIA),CANTEEN & CATERING,,PIECES,50,100,PREPAID SERVICE CONTRACTS,
133,PHA663,BABY PACKAGE,PHARMACY,,TABS,800,1150,INVENTORY - PHARMACY,PHARMACY
134,5024,BABY SHAWL,CANTEEN & CATERING,,PIECES,400,500,PREPAID SERVICE CONTRACTS,
135,5025,BABY SHOWER,CANTEEN & CATERING,,PIECES,70,100,PREPAID SERVICE CONTRACTS,PHYSIOTHERPHY EQUIPMENT
136,5026,BABY SOCKS,CANTEEN & CATERING,,PIECES,15,30,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
137,5027,BABY SUIT SPECIAL,CANTEEN & CATERING,,PIECES,300,450,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
138,5028,BABY SUITS SIMPLE,CANTEEN & CATERING,,PIECES,200,300,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
139,5029,BABY VEST,CANTEEN & CATERING,,PIECES,55,100,PREPAID SERVICE CONTRACTS,
140,5031,BABY WHITE NAPPY LINERS,CANTEEN & CATERING,,PIECES,15,50,PREPAID SERVICE CONTRACTS,
141,PHA386,BACLOFEN TABS 10MG 0 CASH ONLY],PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
142,PHA732,BACTERIA / HME FILTERS,PHARMACY,,TABS,0,1200,INVENTORY - PHARMACY,PHARMACY
143,5032,BAKING POWDER,CANTEEN & CATERING,,PKT,370,370,PREPAID SERVICE CONTRACTS,
144,PHA969,BALBCORK,PHARMACY,,TABS,1450,0,INVENTORY - PHARMACY,PHARMACY
145,8041,BALL POINT PEN,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
146,57,BAR SOAP,CANTEEN & CATERING,,PIECES,0,0,COS-CANTEEN,CANTEEN INCOME
147,37,BARAKI PELLETS (RAT PESTICIDE),CANTEEN & CATERING,,10 GRAMS,50,0,PREPAID SERVICE CONTRACTS,
148,LAUNDRY003,BASINS,LAUNDRY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
149,5040,BATIAN ( KDF),CANTEEN & CATERING,,PIECES,0,10,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
150,8017,BATTERIES CHARGEABLE AAA 1.5,STATIONARY,,PAIRS,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
151,CO5036,BATTERY AA,CONSUMABLES,,PAIRS,0,0,COS- NON PHARM,NON-PHARM
152,CO5035,BATTERY AAA,CONSUMABLES,,PAIRS,0,0,COS- NON PHARM,NON-PHARM
153,4037,BEANS (CANTEEN),CANTEEN & CATERING,,KGS,170,170,PREPAID SERVICE CONTRACTS,
154,PHA987,BEBULIZER COMPRESSOR,PHARMACY,,TABS,5950,0,INVENTORY - PHARMACY,PHARMACY
155,PHA042,BECLOMETHASONE INHALER 200MCG,PHARMACY,,TABS,0,400,INVENTORY - PHARMACY,PHARMACY
156,KITCHEN012,BEEF SMOKIES,CANTEEN & CATERING,,PKT,430,430,PREPAID SERVICE CONTRACTS,
157,5030,BEEF STEW,CANTEEN & CATERING,,PLATE,0,80,PREPAID SERVICE CONTRACTS,
158,50,BELLA SAVIETTE,CANTEEN & CATERING,,PIECES,0,0,COS-CANTEEN,CANTEEN INCOME
159,5047,BELLA TISSUE PAPER,CANTEEN & CATERING,,PIECES,31.25,31.25,PREPAID SERVICE CONTRACTS,
160,PHA043,BENZATHINE PENICILLIN INJ 2.4MU,PHARMACY,,TABS,0,70,INVENTORY - PHARMACY,PHARMACY
161,PHA044,BENZHEXOL TABS 5MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
162,PHA630,BENZOIC/SALICYLIC ACID[ WHITFIELD OINT.,PHARMACY,,TABS,18,100,INVENTORY - PHARMACY,PHARMACY
163,PHA045,BENZYL BENZOATE LOTION 25%WV,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
164,PHA047,BENZYL PENICILLIN INJ 1MU,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
165,PHA046,BENZYLPENICILLIN INJ 5MU,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
166,PHA048,BETAPYN TABS 450/10/30/5MG [SUREPYN] CASH,PHARMACY,,TABS,9.76,15,INVENTORY - PHARMACY,PHARMACY
167,PHA685,BEUFLOX D [CIPROFLOXACIN/DEXAMETHASONE],PHARMACY,,TABS,350,450,INVENTORY - PHARMACY,PHARMACY
168,8002,BIC PENS,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
169,PHA873,BIN CARDS,PHARMACY,,TABS,7.9,10,INVENTORY - PHARMACY,PHARMACY
170,LAB037,BIOBASE CALIBRATOR,LAB ITEMS,,ML,7350,0,COS-LABORATORY,LABORATORY
171,LAB041,BIOBASE HDL,LAB ITEMS,,ML,12500,0,COS-LABORATORY,LABORATORY
172,LAB038,BIOBASE NORMAL CONTROL,LAB ITEMS,,ML,4400,0,COS-LABORATORY,LABORATORY
173,LAB042,BIOBASE TOTAL PROTEIN,LAB ITEMS,,ML,5300,0,COS-LABORATORY,LABORATORY
174,PHA049,BISACODYL TABS 5MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
175,PHA406,BLOOD BAG,LAB ITEMS,,PIECES,99.2,200,EXPENSES,LABORATORY
176,PHA684,BLOOD GIVING SET,PHARMACY,,PIECES,15,100,ACCOMODATION,PHARMACY
177,PHA853,BLOOD PRESSURE MACHINE [OMRON],PHARMACY,,TABS,4086,6500,INVENTORY - PHARMACY,PHARMACY
178,52,BONES,CANTEEN & CATERING,,KGS,0,0,COS-CANTEEN,CANTEEN INCOME
179,PHA846,BOTTLE GLASS /DROPPER,PHARMACY,,TABS,36,50,INVENTORY - PHARMACY,PHARMACY
180,PHA734,BOUGIE ADULT,PHARMACY,,TABS,0,2800,INVENTORY - PHARMACY,PHARMACY
181,PHA735,BOUGIE PEDIATRIC,PHARMACY,,TABS,0,2800,INVENTORY - PHARMACY,PHARMACY
182,8014,BOX FILES,STATIONARY,,PKT,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
183,PHA786,BRACKETS,PHARMACY,,TABS,1500,1500,INVENTORY - PHARMACY,PHARMACY
184,PHA731,BREATHING CIRCUITS ADULTS,PHARMACY,,TABS,0,2800,INVENTORY - PHARMACY,PHARMACY
185,PHA730,BREATHING CIRCUITS PEDS,PHARMACY,,TABS,0,2800,INVENTORY - PHARMACY,PHARMACY
186,PHA359,BRIMOCHEK 5MLS EYE DROPS 0,PHARMACY,,TABS,0,400,INVENTORY - PHARMACY,PHARMACY
187,5075,BRITANIA BISCUITS,CANTEEN & CATERING,,PIECES,300,300,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
188,PHA050,BROMAZEPAM TABS 1.5MG,PHARMACY,,TABS,0,20,INVENTORY - PHARMACY,PHARMACY
189,PHA051,BROMOCRIPTINE TABS 2.5MG,PHARMACY,,TABS,0,25,INVENTORY - PHARMACY,PHARMACY
190,PHA306,BRONCHODILATOR/ MUCOLYTIC SYRUP [TRIMEX ]100ML,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
191,LAUNDRY006,BROOM,LAUNDRY,,PIECES,0,0,COS- NON PHARM,NON-PHARM
192,11,BROWN WHEAT FLOUR 1KG (CANTEEN),CANTEEN & CATERING,,PKT,190,0,PREPAID SERVICE CONTRACTS,
193,12,BROWN WHEAT FLOUR 2KG (CANTEEN),CANTEEN & CATERING,,PKT,190,0,PREPAID SERVICE CONTRACTS,
194,PHA053,BRUFEN SUSPENSION 100MLS [CASH],PHARMACY,,TABS,30,100,INVENTORY - PHARMACY,PHARMACY
195,PHA052,BRUFEN SUSPENSION 60MLS,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
196,PHA055,BRUFEN TABS 200MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
197,PHA054,BRUFEN TABS 400MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
198,LAUNDRY002,BUCKETS,LAUNDRY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
199,PHA056,BUDESONIDE INHALER 200MCG,PHARMACY,,TABS,0,1780,INVENTORY - PHARMACY,PHARMACY
200,PHA493,BUDESONIDE/FORMOTEROL 0,PHARMACY,,TABS,0,1200,INVENTORY - PHARMACY,PHARMACY
201,PHA679,BUPIVACAINE HCL INJ 0.5% PLAIN,PHARMACY,,TABS,338.6,500,INVENTORY - PHARMACY,PHARMACY
202,PHA671,BUPIVACAINE INJ SPINAL,PHARMACY,,TABS,215,300,INVENTORY - PHARMACY,PHARMACY
203,PHA802,BURNISHERS,PHARMACY,,TABS,300,300,INVENTORY - PHARMACY,PHARMACY
204,PHA057,BUSCOPAN INJ 20MG/ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
205,PHA350,BUSCOPAN PLUS 0 [CASH],PHARMACY,,TABS,12,30,INVENTORY - PHARMACY,PHARMACY
206,PHA058,BUSCOPAN SUSPENSION 10MG/ML[CASH ONLY],PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
207,PHA059,BUSCOPAN TABS 10MG,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
208,PHA955,C S SET,PHARMACY,,TABS,58400,0,INVENTORY - PHARMACY,PHARMACY
209,26,CABBAGES (CANTEEN),CANTEEN & CATERING,,PIECES,25,25,PREPAID SERVICE CONTRACTS,
210,PHA060,CALAMINE LOTION 100ML,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
211,PHA752,CALCIUM + VITAMIN D,PHARMACY,,TABS,20,25,INVENTORY - PHARMACY,PHARMACY
212,PHA409,CALCIUM GLUCANATE INJ. 10% 0,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
213,PHA845,CANDID B CREAM 15 GMS [CASH ONLY],PHARMACY,,TABS,115.12,160,INVENTORY - PHARMACY,PHARMACY
214,PHA718,CANNULA G 26 PURPLE],PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
215,PHA543,CANNULA GAUGE 18[GREEN],PHARMACY,,TABS,15,100,INVENTORY - PHARMACY,PHARMACY
216,PHA542,CANNULA GAUGE 20[PINK],PHARMACY,,TABS,15,100,INVENTORY - PHARMACY,PHARMACY
217,PHA540,CANNULA GAUGE 22 [BLUE],PHARMACY,,TABS,15,100,INVENTORY - PHARMACY,PHARMACY
218,PHA541,CANNULA GAUGE 24 [YELLOW],PHARMACY,,TABS,15,100,INVENTORY - PHARMACY,PHARMACY
219,PHA061,CARBAMAZEPINE TABS 200MG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
